       0         1         1  0.566034
       0         2         2  -0.940033
       0         3         3  1.397382
       0         4         4  1.073144
       0         5         5  -0.006030
       0         6         6  -0.715303
       0         7         7  -0.614488
       0         8         8  0.657424
       0         9         9  1.352149
       0        10        10  -1.197677
       0        11        11  0.009200
       0        12        12  -0.890782
       0        13        13  -0.788731
       0        14        14  0.571982
       1         1         1  -0.164723
       1         2         2  0.054535
       1         3         3  1.194263
       1         4         4  -0.424774
       1         5         5  -0.498276
       1         6         6  -0.066453
       1         7         7  0.673456
       1         8         8  -1.836325
       1         9         9  0.163102
       1        10        10  1.440078
       1        11        11  0.805731
       1        12        12  0.537173
       1        13        13  -1.105027
       1        14        14  -0.553986
       2         1         1  0.974948
       2         2         2  -0.668677
       2         3         3  -0.566529
       2         4         4  -0.974294
       2         5         5  -1.406958
       2         6         6  -1.399612
       2         7         7  -0.174894
       2         8         8  -0.267230
       2         9         9  -0.487415
       2        10        10  -0.810633
       2        11        11  0.330304
       2        12        12  -0.491608
       2        13        13  0.686176
       2        14        14  -0.995302
       3         1         1  2.206155
       3         2         2  1.887974
       3         3         3  1.007754
       3         4         4  0.359028
       3         5         5  0.573010
       3         6         6  -0.380518
       3         7         7  -1.301441
       3         8         8  -1.223820
       3         9         9  0.499784
       3        10        10  -0.257657
       3        11        11  1.844229
       3        12        12  1.479764
       3        13        13  -0.111270
       3        14        14  0.720180
       4         1         1  -0.956794
       4         2         2  -0.664111
       4         3         3  0.592395
       4         4         4  -0.797769
       4         5         5  0.536430
       4         6         6  0.640334
       4         7         7  -1.619359
       4         8         8  1.448877
       4         9         9  -0.493800
       4        10        10  -0.274317
       4        11        11  -1.067171
       4        12        12  2.009829
       4        13        13  -0.082224
       4        14        14  -0.990290
       5         1         1  1.070579
       5         2         2  2.389347
       5         3         3  0.635925
       5         4         4  1.494648
       5         5         5  -0.647217
       5         6         6  0.405588
       5         7         7  -0.185264
       5         8         8  0.681835
       5         9         9  -0.184919
       5        10        10  1.413396
       5        11        11  -1.713147
       5        12        12  -1.057002
       5        13        13  -0.641097
       5        14        14  -0.802823
       6         1         1  1.878625
       6         2         2  0.317796
       6         3         3  -0.428935
       6         4         4  2.518744
       6         5         5  2.775658
       6         6         6  -0.335356
       6         7         7  0.322038
       6         8         8  -1.702309
       6         9         9  1.174219
       6        10        10  -2.038303
       6        11        11  -1.552545
       6        12        12  0.606470
       6        13        13  -0.639359
       6        14        14  1.114842
       7         1         1  -0.209696
       7         2         2  -1.200853
       7         3         3  0.483250
       7         4         4  -0.535234
       7         5         5  -0.576719
       7         6         6  -0.941219
       7         7         7  0.346504
       7         8         8  0.202584
       7         9         9  1.464379
       7        10        10  0.212478
       7        11        11  -1.269863
       7        12        12  0.301216
       7        13        13  1.063214
       7        14        14  -1.746132
       8         1         1  0.588081
       8         2         2  0.825939
       8         3         3  0.856226
       8         4         4  -0.754058
       8         5         5  -0.201478
       8         6         6  -0.101292
       8         7         7  0.139344
       8         8         8  0.313667
       8         9         9  -0.766768
       8        10        10  -1.053973
       8        11        11  0.359853
       8        12        12  -2.139473
       8        13        13  -0.192252
       8        14        14  -1.502754
       9         1         1  -0.762061
       9         2         2  1.182265
       9         3         3  1.164212
       9         4         4  -3.198641
       9         5         5  -1.310937
       9         6         6  -1.028343
       9         7         7  -0.638175
       9         8         8  -0.847360
       9         9         9  0.263415
       9        10        10  1.513406
       9        11        11  0.165093
       9        12        12  -2.078413
       9        13        13  -1.214056
       9        14        14  -0.379408
      10         1         1  -1.436171
      10         2         2  2.009974
      10         3         3  0.760884
      10         4         4  1.349953
      10         5         5  0.420231
      10         6         6  -0.355619
      10         7         7  -0.951005
      10         8         8  -0.523169
      10         9         9  0.082195
      10        10        10  -1.641450
      10        11        11  0.501262
      10        12        12  -0.645709
      10        13        13  0.475593
      10        14        14  -0.359906
      11         1         1  -0.731130
      11         2         2  1.353944
      11         3         3  0.621980
      11         4         4  -0.711338
      11         5         5  -0.204588
      11         6         6  0.595829
      11         7         7  0.022632
      11         8         8  -0.883171
      11         9         9  0.195470
      11        10        10  0.163328
      11        11        11  -1.367854
      11        12        12  0.103612
      11        13        13  -0.621277
      11        14        14  0.158265
      12         1         1  0.512531
      12         2         2  0.500421
      12         3         3  -0.599151
      12         4         4  0.638039
      12         5         5  0.818885
      12         6         6  -1.806132
      12         7         7  -0.322950
      12         8         8  1.913893
      12         9         9  -1.022567
      12        10        10  -1.377065
      12        11        11  -0.558957
      12        12        12  -0.919669
      12        13        13  -0.284205
      12        14        14  -1.123300
      13         1         1  -1.920006
      13         2         2  0.385894
      13         3         3  1.177461
      13         4         4  -0.485120
      13         5         5  -0.931091
      13         6         6  -1.198087
      13         7         7  0.479004
      13         8         8  0.489114
      13         9         9  -0.059133
      13        10        10  1.280246
      13        11        11  1.457830
      13        12        12  -1.313753
      13        13        13  -0.264138
      13        14        14  -0.952143
      14         1         1  -0.531339
      14         2         2  -0.048816
      14         3         3  0.300876
      14         4         4  -1.531378
      14         5         5  1.143466
      14         6         6  2.658919
      14         7         7  0.961972
      14         8         8  0.753797
      14         9         9  0.708927
      14        10        10  0.744231
      14        11        11  -1.510301
      14        12        12  0.020606
      14        13        13  0.580087
      14        14        14  1.444368
      15         1         1  -0.393182
      15         2         2  0.868556
      15         3         3  -2.315579
      15         4         4  0.831172
      15         5         5  -0.983960
      15         6         6  -1.064454
      15         7         7  -0.655110
      15         8         8  -1.350371
      15         9         9  1.446969
      15        10        10  1.195957
      15        11        11  -0.144328
      15        12        12  0.133772
      15        13        13  0.048997
      15        14        14  0.175845
      16         1         1  1.530828
      16         2         2  0.915847
      16         3         3  -2.520617
      16         4         4  0.592449
      16         5         5  1.014489
      16         6         6  -1.324642
      16         7         7  -0.466533
      16         8         8  0.813252
      16         9         9  0.071271
      16        10        10  0.979179
      16        11        11  0.375799
      16        12        12  2.092947
      16        13        13  0.445518
      16        14        14  1.293290
      17         1         1  0.732397
      17         2         2  0.501356
      17         3         3  -0.055242
      17         4         4  -1.131715
      17         5         5  0.976872
      17         6         6  0.002801
      17         7         7  0.395627
      17         8         8  0.547448
      17         9         9  0.275778
      17        10        10  1.214303
      17        11        11  -0.546358
      17        12        12  0.167387
      17        13        13  0.316024
      17        14        14  0.338794
      18         1         1  -0.632371
      18         2         2  -1.559685
      18         3         3  -0.687816
      18         4         4  -0.777313
      18         5         5  1.977783
      18         6         6  1.429142
      18         7         7  -0.918970
      18         8         8  0.036592
      18         9         9  0.077674
      18        10        10  -0.516339
      18        11        11  0.980227
      18        12        12  -0.817672
      18        13        13  -0.239743
      18        14        14  0.054784
      19         1         1  -0.002791
      19         2         2  0.768277
      19         3         3  0.789243
      19         4         4  -0.186991
      19         5         5  -0.417678
      19         6         6  0.093110
      19         7         7  0.246516
      19         8         8  0.123828
      19         9         9  -0.327323
      19        10        10  0.590342
      19        11        11  0.091580
      19        12        12  -1.643196
      19        13        13  -0.280299
      19        14        14  0.742533
      20         1         1  1.275333
      20         2         2  0.001550
      20         3         3  0.350853
      20         4         4  -0.255696
      20         5         5  -1.285712
      20         6         6  0.067117
      20         7         7  -0.287837
      20         8         8  -0.766100
      20         9         9  -0.145872
      20        10        10  -1.502202
      20        11        11  1.039629
      20        12        12  0.666453
      20        13        13  -0.647355
      20        14        14  -1.208118
      21         1         1  -1.375443
      21         2         2  0.954385
      21         3         3  1.684080
      21         4         4  0.509521
      21         5         5  0.020222
      21         6         6  -0.097019
      21         7         7  -1.389184
      21         8         8  0.074399
      21         9         9  0.364797
      21        10        10  -0.076014
      21        11        11  -0.203326
      21        12        12  0.692380
      21        13        13  0.770575
      21        14        14  -1.198693
      22         1         1  -0.440827
      22         2         2  -0.614396
      22         3         3  0.876521
      22         4         4  1.126423
      22         5         5  -0.569996
      22         6         6  -1.378658
      22         7         7  1.297428
      22         8         8  0.574874
      22         9         9  -1.093747
      22        10        10  1.695267
      22        11        11  0.904451
      22        12        12  0.661578
      22        13        13  1.652039
      22        14        14  -1.364387
      23         1         1  1.374127
      23         2         2  0.562598
      23         3         3  -1.408689
      23         4         4  -0.728379
      23         5         5  0.863365
      23         6         6  -0.196283
